artifact	final_run1_sha256	final_run2_sha256	result
core12/core1_mutations.bin	6e9e1162d823c2cb422bba48212dc38144ff5c0eab5d00d29f05e5c25dbd9c95	6e9e1162d823c2cb422bba48212dc38144ff5c0eab5d00d29f05e5c25dbd9c95	MATCH
core12/core1_manifest.jsonl	51466d981143d7818a038ee88b632e4baf32cc80e0646332d020d23591b42a68	51466d981143d7818a038ee88b632e4baf32cc80e0646332d020d23591b42a68	MATCH
core12/schedule_scenarios_v1.jsonl	85c13713babfd8fecca5696858e3ee48e59d80ca425960cd5c9acfbecbe35270	85c13713babfd8fecca5696858e3ee48e59d80ca425960cd5c9acfbecbe35270	MATCH
core12/stress_scenarios_v1.jsonl	5aaac164f31ff03f1da9280f5a84ea9c27353de2d64186f7921ae572fc31561e	5aaac164f31ff03f1da9280f5a84ea9c27353de2d64186f7921ae572fc31561e	MATCH
core12/bounded_grid_v1.jsonl	d4cf99bb9bf7e4b2c412e1cf63487e084ca581cb52cf66736e8ae56c404073f2	d4cf99bb9bf7e4b2c412e1cf63487e084ca581cb52cf66736e8ae56c404073f2	MATCH
core12/multiseed_stress_v1.jsonl	7d934758018c1c8091fda42a2c89c7e565807eaa528ba56b0668dc195b74cefb	7d934758018c1c8091fda42a2c89c7e565807eaa528ba56b0668dc195b74cefb	MATCH
core12/core1_host.csv	aa8dad0245a33413dc669c80a76ed3d32cb6c9120b1f0c8f086ba8cfb2400290	aa8dad0245a33413dc669c80a76ed3d32cb6c9120b1f0c8f086ba8cfb2400290	MATCH
core12/core1_qemu.csv	aa8dad0245a33413dc669c80a76ed3d32cb6c9120b1f0c8f086ba8cfb2400290	aa8dad0245a33413dc669c80a76ed3d32cb6c9120b1f0c8f086ba8cfb2400290	MATCH
core12/core2_host_small.csv	19df7529fdc1f345a8076b1603ead6a4def0150543cc424b89633a2f2c0ed20c	19df7529fdc1f345a8076b1603ead6a4def0150543cc424b89633a2f2c0ed20c	MATCH
core12/core2_qemu_small.csv	19df7529fdc1f345a8076b1603ead6a4def0150543cc424b89633a2f2c0ed20c	19df7529fdc1f345a8076b1603ead6a4def0150543cc424b89633a2f2c0ed20c	MATCH
core12/core2_host_stress.csv	01d7ef104adcca2ed361169adbfdcb1d59c8fd61af8f63e0ccae75a8282e8713	01d7ef104adcca2ed361169adbfdcb1d59c8fd61af8f63e0ccae75a8282e8713	MATCH
core12/core2_qemu_stress.csv	01d7ef104adcca2ed361169adbfdcb1d59c8fd61af8f63e0ccae75a8282e8713	01d7ef104adcca2ed361169adbfdcb1d59c8fd61af8f63e0ccae75a8282e8713	MATCH
core12/core2_host_bounded.csv	68975b6efbfc3c21e590570e1ec6f7824422b9600fe869fc46aeeef7ac71dde1	68975b6efbfc3c21e590570e1ec6f7824422b9600fe869fc46aeeef7ac71dde1	MATCH
core12/core2_qemu_bounded.csv	68975b6efbfc3c21e590570e1ec6f7824422b9600fe869fc46aeeef7ac71dde1	68975b6efbfc3c21e590570e1ec6f7824422b9600fe869fc46aeeef7ac71dde1	MATCH
core12/core2_host_multiseed.csv	e24e82aa570dfc4bbcd6c40589765ab60a265ea8bafd9c844c0455b0fd0d8005	e24e82aa570dfc4bbcd6c40589765ab60a265ea8bafd9c844c0455b0fd0d8005	MATCH
core12/core2_qemu_multiseed.csv	e24e82aa570dfc4bbcd6c40589765ab60a265ea8bafd9c844c0455b0fd0d8005	e24e82aa570dfc4bbcd6c40589765ab60a265ea8bafd9c844c0455b0fd0d8005	MATCH
core12/core2_baselines.csv	7f92bf01723175d1f65e019b0e88102aed45ed1a9b22bc2c534bd72b0cf56cb9	7f92bf01723175d1f65e019b0e88102aed45ed1a9b22bc2c534bd72b0cf56cb9	MATCH
core12/core2_wcet_sensitivity.csv	8a9ccfd3e4d7d9415b89efb5c4e05ea585bf5534246dd2e015a7eeb5954a1bbb	8a9ccfd3e4d7d9415b89efb5c4e05ea585bf5534246dd2e015a7eeb5954a1bbb	MATCH
core12/rtthread_formal_corpus.bin	c818ff4428b417d870e8d7b62b5696ee25e94deb4c2be8158441129bbc450906	c818ff4428b417d870e8d7b62b5696ee25e94deb4c2be8158441129bbc450906	MATCH
core1/trust_material.csv	c4fbf173397352035909f5a5f56d2f53747e0c63e459359b3d2d7f4ccb4ef89f	c4fbf173397352035909f5a5f56d2f53747e0c63e459359b3d2d7f4ccb4ef89f	MATCH
core1/trust_material.log	7545d442274163b07851f5dc8ee79113c7bafdfe5099cfdab5d79ba3e0f45e6c	7545d442274163b07851f5dc8ee79113c7bafdfe5099cfdab5d79ba3e0f45e6c	MATCH
core1/trust_rotation_host.log	85dfdac0ec4a3eb60f7ceb4c574b70f8bb301e2b1875c7963bd8489361ac6d60	85dfdac0ec4a3eb60f7ceb4c574b70f8bb301e2b1875c7963bd8489361ac6d60	MATCH
core1/trust_rotation_qemu.log	85dfdac0ec4a3eb60f7ceb4c574b70f8bb301e2b1875c7963bd8489361ac6d60	85dfdac0ec4a3eb60f7ceb4c574b70f8bb301e2b1875c7963bd8489361ac6d60	MATCH
core3/coherency_host.log	6e9751fb94eeb705fee48d03043f52bef6c7cb14141c31f15e3e25e772cc7e13	6e9751fb94eeb705fee48d03043f52bef6c7cb14141c31f15e3e25e772cc7e13	MATCH
core3/coherency_qemu.log	6e9751fb94eeb705fee48d03043f52bef6c7cb14141c31f15e3e25e772cc7e13	6e9751fb94eeb705fee48d03043f52bef6c7cb14141c31f15e3e25e772cc7e13	MATCH
core2/rtthread_virt/run.log	4773c2db59c58db339a390ef82413798f07a1785226cccc2a406470cabc9f967	4773c2db59c58db339a390ef82413798f07a1785226cccc2a406470cabc9f967	MATCH
core2/arm_system_matrix/logs/lm3s6965evb.log	82ea03a81e65aceaf1ea45054a49af2ef9d5710ac0fe248b915bc458ea2df0ad	82ea03a81e65aceaf1ea45054a49af2ef9d5710ac0fe248b915bc458ea2df0ad	MATCH
core2/arm_system_matrix/logs/mps2-an385.log	c1caab6fd989ca9bcc229b80dbcd9d4919f324afd792a46827b533c3948d4b43	c1caab6fd989ca9bcc229b80dbcd9d4919f324afd792a46827b533c3948d4b43	MATCH
core2/arm_system_matrix/logs/mps2-an386.log	511a81c0e3b653a3dd507bfd8e753e9c9557baaffbc898290dfc9d49b57ac417	511a81c0e3b653a3dd507bfd8e753e9c9557baaffbc898290dfc9d49b57ac417	MATCH
core2/arm_system_matrix/logs/mps2-an500.log	e128bffef2eb7f6b288f08a1eed0a6c5e931b86b9964d827166643bd3a33a554	e128bffef2eb7f6b288f08a1eed0a6c5e931b86b9964d827166643bd3a33a554	MATCH
core4/trace_classifier_host.log	37be02e12d10ecc09f405f26e690d716316b621be56af91098e41a0a7c3261e8	37be02e12d10ecc09f405f26e690d716316b621be56af91098e41a0a7c3261e8	MATCH
core4/trace_robustness_host.log	e5a96e15470e9d9171445ad09d7275cbc4c5a1c372b039ebeee5b59c31d20efa	e5a96e15470e9d9171445ad09d7275cbc4c5a1c372b039ebeee5b59c31d20efa	MATCH
core4/trace_robustness_qemu.log	e5a96e15470e9d9171445ad09d7275cbc4c5a1c372b039ebeee5b59c31d20efa	e5a96e15470e9d9171445ad09d7275cbc4c5a1c372b039ebeee5b59c31d20efa	MATCH
